,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
0,1,4  - D'HAENE François Salomon,SEH,1,19:01:54,00:00:00,FR
1,2,2  - JORNET BURGADA Kilian Salomon,SEH,2,19:16:59,00:15:05,ES
2,3,14  - TOLLEFSON Tim Hoka,SEH,3,19:53:00,00:51:06,US
3,4,7  - THEVENARD Xavier Asics,SEH,4,20:03:39,01:01:45,FR
4,5,1  - WALMSLEY Jim Hoka,SEH,5,20:11:38,01:09:44,US
5,6,17  - CAPELL Pau The North Face / Buff,SEH,6,20:12:43,01:10:49,ES
6,7,9  - BOWMAN Dylan The North Face,SEH,7,20:19:48,01:17:54,US
7,8,13  - GRINIUS Gediminas VIBRAM,SEH,8,21:24:19,02:22:25,LT
8,9,8  - MILLER Zach THE NORTH FACE,SEH,9,21:28:32,02:26:38,US
9,10,32  - GAMITO Jordi COMPRESSPORT,SEH,10,21:44:31,02:42:37,ES
10,11,33  - HAWKER Scott HOKA ONE ONE/ COMPRESSPORT,SEH,11,21:55:47,02:53:53,NZ
11,12,84  - HALL Damian INOV-8,V1H,1,22:00:32,02:58:38,GB
12,13,20  - HERMANSEN Didrik ASICS,SEH,12,22:12:18,03:10:24,NO
13,14,18  - LANEY David NIKE TRAIL,SEH,13,22:20:22,03:18:28,US
14,15,40  - PASERO Mikael New Balance,SEH,14,22:28:34,03:26:40,FR
15,16,15  - SYMONDS Andrew SCOTT,SEH,15,22:36:32,03:34:38,GB
16,17,44  - CHORIER Julien TEAM HOKA,SEH,16,22:42:13,03:40:19,FR
17,18,53  - FERNANDES Luís LUDENS CLUBE MACHICO,SEH,17,22:49:07,03:47:13,PT
18,19,163  - DAVID Benjamin,SEH,18,22:51:04,03:49:10,FR
19,20,51  - BROWNING Jeff,V1H,2,22:55:52,03:53:58,US
20,21,43  - ORNATI Giulio TEAM SALOMON ISOSTAD,SEH,19,23:08:34,04:06:40,IT
21,22,91  - LARROTCHA Juan Jose MURCIA CHALLENGE,V1H,3,23:27:25,04:25:31,ES
22,23,74  - BERNAD BLASCO Victor AML SPORT HG - MERIDIANO 0,V1H,4,23:30:51,04:28:57,ES
23,24,108  - DIOGO Leonardo MADEIRA ULTRA RUNNERS/CAMADEIRA,V2H,1,23:31:23,04:29:29,PT
24,25,90  - DOI Takashi,SEH,20,23:36:47,04:34:53,JP
25,26,81  - GRASEL Florian TRAILBEARD 4 BOA RUNNING TEAM,SEH,21,23:42:45,04:40:51,AT
26,27,85  - FREITAS Francisco,V1H,5,23:44:56,04:43:02,PT
27,28,94  - SCHJØLBERG Hallvard Lofoten Ultraloperklubb // The Arctic Triple Team,V1H,6,23:48:15,04:46:21,NO
28,29,106  - VINAGRE CRUZ Alberto BTR PROTEAM,SEH,22,23:50:15,04:48:21,ES
29,30,155  - PARRA HERNANDEZ Vicente PEDREZUELA HAGLOFS,SEH,23,24:12:38,05:10:44,ES
30,31,162  - CAUCHON Jean-Francois,SEH,24,24:18:57,05:17:03,CA
31,32,150  - KENDALL Danny SCOTT SPORTS UK,SEH,25,24:23:10,05:21:16,GB
32,33,45  - GAY Anthony OXSITIS / ODLO,SEH,26,24:29:58,05:28:04,FR
33,34,134  - SKURKA Andrew,SEH,27,24:44:07,05:42:13,US
34,35,122  - EVARTS Roman TREKKING TEAM 007,SEH,28,24:58:48,05:56:54,LV
35,36,82  - RODRIGUEZ BARREIRO Alvaro SPORT HG,V1H,7,25:18:35,06:16:41,ES
36,37,582  - PHILIPPE Stephane TRSP LHERITIER,V1H,8,25:24:01,06:22:07,FR
37,38,154  - MOLIN Ivano TEAM PEGGIORI SCARPA-MICO,V1H,9,25:34:19,06:32:25,IT
38,39,129  - TEJERO Sergio Luís PEDREZUELA,V1H,10,25:36:48,06:34:54,ES
39,40,583  - ROSTOVTSEV Artem RRC RUN CLUB,SEH,29,25:44:18,06:42:24,RU
40,41,16  - PICAS Núria BUFF PRO TEAM,V1F,1,25:46:43,06:44:49,ES
41,42,52  - HARA Yoshikazu,V1H,11,25:48:02,06:46:08,JP
42,43,21  - HUSER Andrea MAMMUT PRO TEAM,V1F,2,25:49:18,06:47:24,CH
43,44,109  - VIOLETT Zachary,SEH,30,25:50:30,06:48:36,US
44,45,614  - KACMARCIK Tomas CZ&SK-INOV8 TEAM,V1H,12,25:51:56,06:50:02,SK
45,46,48  - ANGUITA BAYO Manuel ASICS- CDSOHAILLASENDA,SEH,31,25:54:16,06:52:22,ES
46,47,120  - VERMILYEA Andrew NUUN,SEH,32,25:58:52,06:56:58,US
47,48,12  - SCHLARB Jason,SEH,33,26:06:12,07:04:18,US
48,49,686  - ARROYO MORENO Ginés ESPUNA TRAIL,SEH,34,26:09:21,07:07:27,ES
49,50,5  - CANADAY Sage HOKA ONE ONE,SEH,35,26:12:06,07:10:12,US
50,51,78  - YANG Jiagen LA SPORTIVA,SEH,36,26:27:52,07:25:58,CN
